# of Questions,Exam,Domain Number,Domain Name,claude-3.5-haiku,claude-3.7-sonnet,deepseek-r1,meta-llama-3-8b,meta-llama-3-70b,gpt-5,gpt-5-mini,gemini 1.5,gemini 2.5,gemma 3-27b,claude-3.5-haiku,claude-3.7-sonnet,deepseek-r1,meta-llama-3-8b,meta-llama-3-70b,gpt-5,gpt-5-mini,gemini 1.5,gemini 2.5,gemma 3-27b,All Models Averaged
99,AIGP,All,,84,89,91,72,87,91,92,92,93,90,84.8%,89.9%,91.9%,72.7%,87.9%,91.9%,92.9%,92.9%,93.9%,90.9%,89.0%
90,CIPM,All,,74,82,81,52,76,81,80,79,83,81,82.2%,91.1%,90.0%,57.8%,84.4%,90.0%,88.9%,87.8%,92.2%,90.0%,85.4%
18,CIPM,1,Privacy Program: Developing a Framework,15,15,17,12,16,17,16,16,17,16,83.3%,83.3%,94.4%,66.7%,88.9%,94.4%,88.9%,88.9%,94.4%,88.9%,87.2%
14,CIPM,2,Privacy Program: Establishing Program Governance,14,14,14,8,14,13,14,12,14,13,100.0%,100.0%,100.0%,57.1%,100.0%,92.9%,100.0%,85.7%,100.0%,92.9%,92.9%
20,CIPM,3,Privacy Operational Life Cycle: Assessing Data,18,18,16,14,16,18,16,16,18,17,90.0%,90.0%,80.0%,70.0%,80.0%,90.0%,80.0%,80.0%,90.0%,85.0%,83.5%
15,CIPM,4,Privacy Operational Life Cycle: Protecting Personal Data,11,14,12,8,13,13,14,12,14,12,73.3%,93.3%,80.0%,53.3%,86.7%,86.7%,93.3%,80.0%,93.3%,80.0%,82.0%
6,CIPM,5,Privacy Operational Life Cycle: Sustaining Program Governance,5,5,5,3,5,5,5,6,5,5,83.3%,83.3%,83.3%,50.0%,83.3%,83.3%,83.3%,100.0%,83.3%,83.3%,81.7%
17,CIPM,6,Privacy Operational Life Cycle: Responding to Requests and Incidents,12,16,15,8,14,14,15,14,15,14,70.6%,94.1%,88.2%,47.1%,82.4%,82.4%,88.2%,82.4%,88.2%,82.4%,80.6%
90,CIPP/US,All,,72,82,78,57,73,84,79,79,81,76,80.0%,91.1%,86.7%,63.3%,81.1%,93.3%,87.8%,87.8%,90.0%,84.4%,84.6%
35,CIPP/US,1,Introduction to the U.S. Privacy Environment,30,33,30,26,30,33,31,31,31,31,85.7%,94.3%,85.7%,74.3%,85.7%,94.3%,88.6%,88.6%,88.6%,88.6%,87.4%
25,CIPP/US,2,Limits on Private-sector Collection and Use of Data,16,20,18,16,18,19,19,19,18,18,64.0%,80.0%,72.0%,64.0%,72.0%,76.0%,76.0%,76.0%,72.0%,72.0%,72.4%
6,CIPP/US,3,Government and Court Access to Private-sector Information,5,6,5,5,5,5,5,6,5,5,83.3%,100.0%,83.3%,83.3%,83.3%,83.3%,83.3%,100.0%,83.3%,83.3%,86.7%
10,CIPP/US,4,Workplace Privacy,9,10,10,7,9,10,10,10,10,10,90.0%,100.0%,100.0%,70.0%,90.0%,100.0%,100.0%,100.0%,100.0%,100.0%,95.0%
14,CIPP/US,5,State Privacy Laws,9,11,11,5,9,11,11,10,10,8,64.3%,78.6%,78.6%,35.7%,64.3%,78.6%,78.6%,71.4%,71.4%,57.1%,67.9%
90,CIPT,All,,75,72,83,60,75,81,77,78,83,76,83.3%,80.0%,92.2%,66.7%,83.3%,90.0%,85.6%,86.7%,92.2%,84.4%,84.4%
15,CIPT,1,Foundational Principles,13,11,15,9,14,14,14,12,13,12,86.7%,73.3%,100.0%,60.0%,93.3%,93.3%,93.3%,80.0%,86.7%,80.0%,84.7%
7,CIPT,2,The Privacy Technologist's Role in the Context of the Organization,4,3,4,3,3,4,4,4,4,4,57.1%,42.9%,57.1%,42.9%,42.9%,57.1%,57.1%,57.1%,57.1%,57.1%,52.9%
20,CIPT,3,"Privacy Risks, Threats and Violations",14,16,14,12,13,14,13,13,16,15,70.0%,80.0%,70.0%,60.0%,65.0%,70.0%,65.0%,65.0%,80.0%,75.0%,70.0%
12,CIPT,4,"Privacy-Enhancing Strategies, Techniques and Technologies",6,7,8,4,6,8,7,7,8,7,50.0%,58.3%,66.7%,33.3%,50.0%,66.7%,58.3%,58.3%,66.7%,58.3%,56.7%
11,CIPT,5,Privacy by Design,10,10,11,9,10,11,9,10,11,10,90.9%,90.9%,100.0%,81.8%,90.9%,100.0%,81.8%,90.9%,100.0%,90.9%,91.8%
14,CIPT,6,Privacy Engineering,10,10,11,8,12,10,8,11,11,10,71.4%,71.4%,78.6%,57.1%,85.7%,71.4%,57.1%,78.6%,78.6%,71.4%,72.1%
11,CIPT,7,Evolving or Emerging Technologies in Privacy,4,4,6,6,6,6,5,5,5,4,36.4%,36.4%,54.5%,54.5%,54.5%,54.5%,45.5%,45.5%,45.5%,36.4%,46.4%
369,Aggregate,All,,305,325,333,241,311,337,328,328,340,323,82.7%,88.1%,90.2%,65.3%,84.3%,91.3%,88.9%,88.9%,92.1%,87.5%,85.9%
